sound_path,sample_rate_hz,time_step,window_length,f_low1,f_high1,f_low2,f_high2,pitch_floor,pitch_ceiling,alpha_ratio_mean,elapsed_seconds,time_seconds,alpha_ratio
testsoundmono.mp3,44100.0,0.01,0.025,50.0,1000.0,1000.0,5000.0,75.0,500.0,2.830767,0.011514,0.755669,4.145346
,,,,,,,,,,,,0.765669,5.141559
,,,,,,,,,,,,0.775669,4.701801
,,,,,,,,,,,,0.785669,4.452163
,,,,,,,,,,,,0.795669,4.883540
,,,,,,,,,,,,0.805669,4.803177
,,,,,,,,,,,,0.815669,4.931295
,,,,,,,,,,,,0.825669,4.913824
,,,,,,,,,,,,0.835669,5.371484
,,,,,,,,,,,,0.845669,5.696375
,,,,,,,,,,,,0.855669,5.362038
,,,,,,,,,,,,0.865669,5.380968
,,,,,,,,,,,,0.875669,4.461521
,,,,,,,,,,,,0.885669,2.361950
,,,,,,,,,,,,0.895669,2.267625
,,,,,,,,,,,,0.905669,2.809729
,,,,,,,,,,,,0.915669,2.920332
,,,,,,,,,,,,0.925669,3.104780
,,,,,,,,,,,,0.935669,2.792012
,,,,,,,,,,,,0.945669,2.844887
,,,,,,,,,,,,0.955669,2.955738
,,,,,,,,,,,,0.965669,2.852911
,,,,,,,,,,,,0.975669,2.737869
,,,,,,,,,,,,0.985669,2.742821
,,,,,,,,,,,,0.995669,2.674745
,,,,,,,,,,,,1.005669,2.737909
,,,,,,,,,,,,1.015669,2.794922
,,,,,,,,,,,,1.025669,2.810650
,,,,,,,,,,,,1.035669,2.388644
,,,,,,,,,,,,1.045669,2.084216
,,,,,,,,,,,,1.055669,2.343895
,,,,,,,,,,,,1.065669,2.080070
,,,,,,,,,,,,1.235669,2.901673
,,,,,,,,,,,,1.245669,2.751246
,,,,,,,,,,,,1.255669,2.554602
,,,,,,,,,,,,1.265669,2.790251
,,,,,,,,,,,,1.275669,2.764134
,,,,,,,,,,,,1.285669,2.684891
,,,,,,,,,,,,1.295669,2.703980
,,,,,,,,,,,,1.305669,2.260519
,,,,,,,,,,,,1.315669,1.944605
,,,,,,,,,,,,1.325669,1.809321
,,,,,,,,,,,,1.335669,1.902443
,,,,,,,,,,,,1.375669,0.727839
,,,,,,,,,,,,1.385669,2.217622
,,,,,,,,,,,,1.395669,2.618506
,,,,,,,,,,,,1.405669,2.193133
,,,,,,,,,,,,1.415669,2.205232
,,,,,,,,,,,,1.425669,2.061929
,,,,,,,,,,,,1.435669,2.104351
,,,,,,,,,,,,1.445669,2.225766
,,,,,,,,,,,,1.455669,2.396216
,,,,,,,,,,,,1.465669,2.377697
,,,,,,,,,,,,1.685669,1.835196
,,,,,,,,,,,,1.695669,1.439858
,,,,,,,,,,,,1.705669,1.584500
,,,,,,,,,,,,1.715669,1.456834
,,,,,,,,,,,,1.725669,1.565700
,,,,,,,,,,,,1.735669,1.535485
,,,,,,,,,,,,1.745669,1.636503
,,,,,,,,,,,,1.755669,1.928907
,,,,,,,,,,,,1.765669,2.105315
,,,,,,,,,,,,1.775669,2.320898
,,,,,,,,,,,,1.785669,3.128707
,,,,,,,,,,,,1.795669,3.050622
,,,,,,,,,,,,1.805669,3.068830
,,,,,,,,,,,,1.815669,3.180603
,,,,,,,,,,,,1.825669,3.545189
,,,,,,,,,,,,1.835669,3.651923
,,,,,,,,,,,,1.845669,3.789763
,,,,,,,,,,,,1.855669,3.056120
,,,,,,,,,,,,1.865669,2.415450
,,,,,,,,,,,,1.875669,2.741318
,,,,,,,,,,,,1.885669,2.726908
,,,,,,,,,,,,1.895669,2.549849
,,,,,,,,,,,,1.905669,2.688713
,,,,,,,,,,,,1.915669,2.792281
,,,,,,,,,,,,1.925669,2.916078
,,,,,,,,,,,,1.935669,2.793484
,,,,,,,,,,,,1.945669,2.638801
,,,,,,,,,,,,1.955669,2.812803
,,,,,,,,,,,,1.965669,2.980655
,,,,,,,,,,,,1.975669,3.130361
,,,,,,,,,,,,1.985669,2.778027
,,,,,,,,,,,,1.995669,3.365126
,,,,,,,,,,,,2.005669,3.572918
,,,,,,,,,,,,2.015669,3.615531
,,,,,,,,,,,,2.025669,3.576383
,,,,,,,,,,,,2.035669,3.600872
,,,,,,,,,,,,2.045669,3.266989
,,,,,,,,,,,,2.055669,3.107065
,,,,,,,,,,,,2.065669,2.962805
,,,,,,,,,,,,2.075669,2.498110
,,,,,,,,,,,,2.085669,1.659447
,,,,,,,,,,,,2.095669,1.492164
,,,,,,,,,,,,2.105669,1.412956
,,,,,,,,,,,,2.115669,1.379743
,,,,,,,,,,,,2.125669,1.208486
,,,,,,,,,,,,2.135669,1.454760
,,,,,,,,,,,,2.145669,1.410206
,,,,,,,,,,,,2.155669,1.681711
,,,,,,,,,,,,2.165669,1.915517
,,,,,,,,,,,,2.175669,2.156367
,,,,,,,,,,,,2.185669,2.196500
,,,,,,,,,,,,2.195669,2.549850
,,,,,,,,,,,,2.205669,2.828119
,,,,,,,,,,,,2.215669,2.814797
,,,,,,,,,,,,2.225669,2.990622
,,,,,,,,,,,,2.235669,2.794365
,,,,,,,,,,,,2.245669,2.694407
,,,,,,,,,,,,2.255669,2.822429
,,,,,,,,,,,,2.265669,2.767333
,,,,,,,,,,,,2.275669,2.975411
,,,,,,,,,,,,2.285669,3.050846
,,,,,,,,,,,,2.295669,2.827726
,,,,,,,,,,,,2.305669,2.533685
,,,,,,,,,,,,2.315669,2.920416
,,,,,,,,,,,,2.325669,3.113219
,,,,,,,,,,,,2.335669,3.476500
,,,,,,,,,,,,2.345669,3.792203
,,,,,,,,,,,,2.355669,4.523913
,,,,,,,,,,,,2.365669,4.403308
,,,,,,,,,,,,2.375669,4.389873
,,,,,,,,,,,,2.385669,4.531667
,,,,,,,,,,,,2.395669,4.792605
,,,,,,,,,,,,2.405669,4.640210
,,,,,,,,,,,,2.415669,4.494781
,,,,,,,,,,,,2.425669,4.500735
,,,,,,,,,,,,2.435669,4.255130
,,,,,,,,,,,,2.445669,3.842058
,,,,,,,,,,,,2.455669,3.569533
,,,,,,,,,,,,2.465669,2.616280
,,,,,,,,,,,,2.475669,2.509092
,,,,,,,,,,,,2.485669,2.513696
,,,,,,,,,,,,2.495669,2.343946
,,,,,,,,,,,,2.505669,2.474600
,,,,,,,,,,,,2.515669,2.749461
,,,,,,,,,,,,2.525669,2.521263
,,,,,,,,,,,,2.535669,2.711043
,,,,,,,,,,,,2.545669,2.509838
,,,,,,,,,,,,2.555669,2.612017
,,,,,,,,,,,,2.565669,2.576761
,,,,,,,,,,,,2.575669,2.331990
,,,,,,,,,,,,2.585669,2.377072
,,,,,,,,,,,,2.595669,2.146634
,,,,,,,,,,,,2.605669,2.060791
,,,,,,,,,,,,2.615669,2.218669
,,,,,,,,,,,,2.625669,2.140729
,,,,,,,,,,,,2.635669,2.007939
,,,,,,,,,,,,2.645669,2.100564
,,,,,,,,,,,,2.655669,2.206087
,,,,,,,,,,,,2.665669,1.880326
,,,,,,,,,,,,2.675669,1.683633
,,,,,,,,,,,,2.685669,1.369279
,,,,,,,,,,,,2.695669,1.085285
